repo_full_name,path,html_url
Nency-Ravaliya/devops-secrete-map,Day10/hpa-v2.yaml,https://github.com/Nency-Ravaliya/devops-secrete-map/blob/35bd85c6962606bece0b37ae1b0cb8da995c18f4/Day10/hpa-v2.yaml
akimabs/deployment-cobain,ciam/hpa.yml,https://github.com/akimabs/deployment-cobain/blob/46d0e10f10400a6165c73557537a9e5604930117/ciam/hpa.yml
sanjurajrh/rosa,hpa.yaml,https://github.com/sanjurajrh/rosa/blob/b25a8b836faadf7cb20ed5172b5ff7e7b0ce84f0/hpa.yaml
zalehamza/presentation,k8s/hpa.yaml,https://github.com/zalehamza/presentation/blob/47b7bb6ecff792bfe7f8b12a57cf1ae95cc67baf/k8s/hpa.yaml
egbedi7/kubernetes-101-deployment,hpa.yaml,https://github.com/egbedi7/kubernetes-101-deployment/blob/acf5a2bc8c73b3911e2bca9d47c0fb8577d426d4/hpa.yaml
amitshishodia/mongo-express-api,pipelines/hpa.yaml,https://github.com/amitshishodia/mongo-express-api/blob/a1b2a0ee473b07fee68ef48e3e79d124a0b4ed37/pipelines/hpa.yaml
EcoTech-WCE-Hackathon/EcoTech-Backend,hpa.yaml,https://github.com/EcoTech-WCE-Hackathon/EcoTech-Backend/blob/d729fc17a5982fc4d563a6041171b0ded161321e/hpa.yaml
mikdangana/kfpca,src/varbench/cinit_worker.yaml,https://github.com/mikdangana/kfpca/blob/7103d15e8d28bed75980ee847ef406b1f32c9ad0/src/varbench/cinit_worker.yaml
surendra-dire/GitOps-Helm-Argocd,hpa/hpa.yml,https://github.com/surendra-dire/GitOps-Helm-Argocd/blob/49c86ea504cca585b9992954e599857c67dd4576/hpa/hpa.yml
actions-marketplace-validations/openedx-actions_tutor-k8s-configure-autoscaling-policy,action.yml,https://github.com/actions-marketplace-validations/openedx-actions_tutor-k8s-configure-autoscaling-policy/blob/c01aebac49a1d00f9947502927d0e2dd01afb373/action.yml
hxwxdmhd/NoxPanel_Suite_WIP,k8s/hpa.yaml,https://github.com/hxwxdmhd/NoxPanel_Suite_WIP/blob/49647c0dc6bbc9af882735631344affc2271cddf/k8s/hpa.yaml
