repo_full_name,Owner,Project,File Path,apiVersion,Is Helm Template,Has Behavior,raw_length,Metric Type,Metric Name,HPAClass
ARRahimipour/Sananet-DevOps-Engineering-Course,ARRahimipour,Sananet-DevOps-Engineering-Course,Session 13/Exercise/Atsea Shop/k8s/hpa-appserver.yaml,autoscaling/v2,False,False,477,Resource,cpu,UNKNOWN
sahil9801/AWS_Dock,sahil9801,AWS_Dock,to/kubernetes/template/040-hpa.yaml,autoscaling/v2beta2,False,False,808,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-ilm-ambient/base/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-ilm-ambient/base/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-ilm-ambient/base/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-ilm-ambient/base/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-ilm-ambient/base/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-istio-helm-ambient/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-istio-helm-ambient/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-istio-helm-ambient/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-istio-helm-ambient/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
solo-io/aoa-catalog,solo-io,aoa-catalog,environments/gloo-gateway/gateway-api/1.18/with-istio-helm-ambient/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
